SerialNo,Season,Name,Role,Price,Team
1,2024,Avanish Rao Aravelly ,Wicket-Keeper ,2000000.0, Chennai Super Kings
2,2024,Mustafizur Rahman ,Bowler ,20000000.0, Chennai Super Kings
3,2024,Daryl Mitchell ,All-Rounder ,140000000.0, Chennai Super Kings
4,2024,Sameer Rizvi ,Batter ,84000000.0, Chennai Super Kings
5,2024,Rachin Ravindra ,All-Rounder ,18000000.0, Chennai Super Kings
6,2024,Shardul Thakur ,All-Rounder ,40000000.0, Chennai Super Kings
7,2024,Ricky Bhui ,Wicket-Keeper ,2000000.0, Delhi Capitals
8,2024,Sumit Kumar ,All-Rounder ,10000000.0, Delhi Capitals
9,2024,Swastik Chhikara ,Batter ,2000000.0, Delhi Capitals
10,2024,Jhye Richardson ,Bowler ,50000000.0, Delhi Capitals
11,2024,Shai Hope ,Wicket-Keeper ,7500000.0, Delhi Capitals
12,2024,Rasikh Dar ,Bowler ,2000000.0, Delhi Capitals
13,2024,Kumar Kushagra ,Wicket-Keeper ,72000000.0, Delhi Capitals
14,2024,Tristan Stubbs ,Wicket-Keeper ,5000000.0, Delhi Capitals
15,2024,Harry Brook ,Batter ,40000000.0, Delhi Capitals
16,2024,Kartik Tyagi ,Bowler ,6000000.0, Gujarat Titans
17,2024,Spencer Johnson ,Bowler ,100000000.0, Gujarat Titans
18,2024,Manav Suthar ,Bowler ,2000000.0, Gujarat Titans
19,2024,Robin Minz ,Wicket-Keeper ,36000000.0, Gujarat Titans
20,2024,Sushant Mishra ,Bowler ,22000000.0, Gujarat Titans
21,2024,Azmatullah Omarzai ,All-Rounder ,5000000.0, Gujarat Titans
22,2024,Shahrukh Khan ,All-Rounder ,74000000.0, Gujarat Titans
23,2024,Umesh Yadav ,Bowler ,58000000.0, Gujarat Titans
24,2024,Mujeeb Rahman ,Bowler ,20000000.0, Kolkata Knight Riders
25,2024,Manish Pandey ,Batter ,5000000.0, Kolkata Knight Riders
26,2024,Gus Atkinson ,Bowler ,10000000.0, Kolkata Knight Riders
27,2024,Angkrish Raghuvanshi ,Batter ,2000000.0, Kolkata Knight Riders
28,2024,Mitchell  Starc ,Bowler ,247500000.0, Kolkata Knight Riders
29,2024,Sherfane Rutherford ,Batter ,15000000.0, Kolkata Knight Riders
30,2024,Ramandeep  Singh ,All-Rounder ,2000000.0, Kolkata Knight Riders
31,2024,K.S. Bharat ,Wicket-Keeper ,5000000.0, Kolkata Knight Riders
32,2024,Chetan Sakariya ,Bowler ,5000000.0, Kolkata Knight Riders
33,2024,Sakib Hussain ,Bowler ,2000000.0, Kolkata Knight Riders
34,2024,Ashton Turner ,Batter ,10000000.0, Lucknow Super Giants
35,2024,David Willey  ,All-Rounder ,20000000.0, Lucknow Super Giants
36,2024,M. Siddharth ,Bowler ,24000000.0, Lucknow Super Giants
37,2024,Shivam  Mavi ,Bowler ,64000000.0, Lucknow Super Giants
38,2024,Arshin Kulkarni ,All-Rounder ,2000000.0, Lucknow Super Giants
39,2024,Mohd. Arshad Khan ,All-Rounder ,2000000.0, Lucknow Super Giants
40,2024,Dilshan Madushanka ,Bowler ,46000000.0, Mumbai Indians
41,2024,Shreyas Gopal ,Bowler ,2000000.0, Mumbai Indians
42,2024,Shivalik Sharma ,All-Rounder ,2000000.0, Mumbai Indians
43,2024,Anshul Kamboj ,All-Rounder ,2000000.0, Mumbai Indians
44,2024,Mohammad Nabi ,All-Rounder ,15000000.0, Mumbai Indians
45,2024,Naman Dhir ,All-Rounder ,2000000.0, Mumbai Indians
46,2024,Nuwan Thushara ,Bowler ,48000000.0, Mumbai Indians
47,2024,Gerald Coetzee ,All-Rounder ,50000000.0, Mumbai Indians
48,2024,Chris Woakes  ,All-Rounder ,42000000.0, Punjab Kings
49,2024,Tanay Thyagarajann ,All-Rounder ,2000000.0, Punjab Kings
50,2024,Vishwanath Pratap Singh ,All-Rounder ,2000000.0, Punjab Kings
51,2024,Ashutosh Sharma ,All-Rounder ,2000000.0, Punjab Kings
52,2024,Shashank  Singh ,Batter ,2000000.0, Punjab Kings
53,2024,Rilee Rossouw ,Batter ,80000000.0, Punjab Kings
54,2024,Prince Choudhary ,Bowler ,2000000.0, Punjab Kings
55,2024,Harshal Patel ,All-Rounder ,117500000.0, Punjab Kings
56,2024,Shubham Dubey ,Batter ,58000000.0, Rajasthan Royals
57,2024,Rovman Powell ,Batter ,74000000.0, Rajasthan Royals
58,2024,Abid Mushtaq ,All-Rounder ,2000000.0, Rajasthan Royals
59,2024,Nandre Burger ,Bowler ,5000000.0, Rajasthan Royals
60,2024,Tom Kohler-Cadmore ,Wicket-Keeper ,4000000.0, Rajasthan Royals
